1,280,83,83,53,
0,292,367,92,641,
3,443,340,249,489,
4,447,428,347,685,
2,488,1511,888,2289,
5,534,1766,1766,1466,
6,639,2106,1691,9157,
7,740,2086,2086,2006,
8,1021,2298,1905,7696,
9,1113,2406,2406,2206,
11,1258,3235,2762,11274,
10,1289,3795,3295,6500,
12,1333,3772,3761,7513,
13,1341,4167,3885,15703,
14,1660,4461,3898,19898,
15,1694,4729,4517,13474,
16,1826,4960,4718,19006,
19,1967,4840,4830,9650,
17,1997,5103,4931,14726,
18,2082,5048,5048,5018,
21,2152,5690,5069,15619,
20,2234,6010,5909,11518,
23,2315,6008,6008,5928,
22,2436,5939,5939,5889,
24,2547,6069,5948,11777,
26,2646,6183,5980,24026,
25,2686,6446,6154,24830,
27,2708,6536,6505,12931,
30,3001,7325,6743,26587,
28,3076,7834,7451,37651,
29,3189,7731,7731,7721,
31,3266,7916,7855,23396,
32,3333,8681,7880,23911,
35,3514,9371,8509,43869,
33,3595,9864,9343,37844,
36,3643,10015,10015,9815,
34,3681,10078,10078,9978,
38,3828,10214,10032,50404,
37,3854,10430,10198,51436,
39,3979,10688,10607,20915,
,,,,,2.7259097
